,both_avg,both_dis,both_std,covid_avg,covid_dis,covid_std,max_score,stock_avg,stock_dis,stock_std
Commercial Services,0.8142892812555733,0.017993152224785966,0.029685281585808604,0.7395168772996321,0.038497379320903996,0.04233532412201863,0.8238701622971286,0.8174710183698947,0.02635348300196954,0.03449008513204499
Communications,0.7884560965459841,0.012712032021331176,0.04017058505595172,0.7516685330347146,0.013540342618465782,0.046872193458804896,0.8071244277985851,0.8048689138576779,0.03963682206651189,0.04345940203014669
Consumer Durables,0.8123211370402382,0.01700265519738818,0.0362362611309972,0.7411715048669136,0.022557200446124775,0.034353738037340945,0.8197445500816288,0.8159512148276193,0.01792925649570884,0.031348779280198656
Consumer Non-Durables,0.8148853932584269,0.01619624435512171,0.03741377094338116,0.7347162374020156,0.02593002287236931,0.03769792516138983,0.8198222222222222,0.8163205992509363,0.01665098118202032,0.03487665492655939
Consumer Services,0.8162851990567347,0.02987182547498506,0.03758564353733527,0.7332238397411969,0.028771479209857728,0.04182282045612393,0.8197752808988764,0.8146650020807324,0.026262024208077887,0.037582018214749935
Distribution Services,0.7949634385589441,0.03226209360287819,0.03796656191981018,0.7337194048952167,0.01899783698214008,0.03223844231583887,0.7975352238273586,0.7911325129302658,0.028983343597624788,0.03549152915956931
Electronic Technology,0.8071858452796074,0.019305113245710884,0.0409971264076544,0.7381704444530256,0.027399413963242136,0.04126460036801614,0.8133608851005208,0.809566490163158,0.015334111394349002,0.036065893606616745
Energy Minerals,0.7943003064351379,0.014291427568504463,0.03883939655046186,0.7558200142522652,0.018391388704797933,0.03795129154246286,0.8069254341164455,0.8034570423334467,0.02476764885083461,0.03504187866545123
Finance,0.8039497503121099,0.02298453566849346,0.03387300206067455,0.732981522956327,0.02703919761218659,0.03647591449163093,0.8093075062421973,0.8040125624219725,0.02396691651761385,0.03563329968498068
Health Services,0.8219631710362048,0.022616692702209545,0.03636561888946087,0.7452351623740202,0.037155797808664785,0.031708680338736,0.8275842696629213,0.8191729088639201,0.018027958054537004,0.03616372832856675
Health Technology,0.8185684560965459,0.023731329049980217,0.037203435107889087,0.7484034069700363,0.030736679876252837,0.038427762943881894,0.8235970188779177,0.8201256005750387,0.021354806738224517,0.03686478830364951
Industrial Services,0.8045799892990904,0.023682575437811958,0.034492713119768065,0.7397760358342664,0.028664111885311358,0.04462821024938959,0.808450151596219,0.803338683788122,0.024801715269974708,0.03636060802210793
Non-Energy Minerals,0.817578027465668,0.011017094418487004,0.03173187618779021,0.7508473310936917,0.014981478499495467,0.028498549993790038,0.8242863087806908,0.8242863087806908,0.01408916882364207,0.03796215990828287
Process Industries,0.8120521223470663,0.016981307840137027,0.034027166089580244,0.7366167413213887,0.024755263249976792,0.0380640275790695,0.817940074906367,0.8089747191011236,0.023739225716015284,0.03449637130295134
Producer Manufacturing,0.7967696629213483,0.026066054016059124,0.03798519429395593,0.7389968271743189,0.025734398408226555,0.03781872774558756,0.8043476903870163,0.8006002913025384,0.02600301900083993,0.038915629750224535
Retail Trade,0.8207674617254748,0.025271508541373274,0.03383908892173509,0.7384322508398657,0.027014933099515616,0.039612582787350546,0.8281043432551415,0.8240988238386227,0.02557745107792574,0.03460044380090527
Technology Services,0.8134035580524345,0.023025306824347426,0.033172862432942436,0.7372984322508399,0.023888956204649862,0.040469879408940354,0.8166260923845194,0.8112219101123597,0.023376866948901627,0.03391899457699453
Transportation,0.8140755873340143,0.028498295057432593,0.042407536895520126,0.7574142319047134,0.016900266792051203,0.032553121056083247,0.8193825899443876,0.8094018840086256,0.02400790360569836,0.03492526348939685
Utilities,0.8142122347066169,0.024708701542277722,0.0353885165067183,0.7469697648376259,0.0280794782015955,0.04688148050182427,0.8186042446941324,0.8155880149812734,0.02189452185962259,0.03734982998101399
