,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
15,AIZ,0.7959800249687891,0.007941645115195708,0.5784753363228701,0.7473908174692049,0.038549912943401134,0.5711252653927813,0.7959800249687891,0.012808867083208624,0.5784753363228701,both,0.7959800249687891
16,AJG,0.7914856429463172,0.03220106532879813,0.6233183856502242,0.7622844344904814,0.02392524389951979,0.6157112526539278,0.7936828963795255,0.02117459305287388,0.6233183856502242,both,0.7936828963795255
27,AMP,0.7980774032459426,0.04699293255586368,0.6457399103139013,0.7387905935050393,0.04423462936308215,0.6369426751592356,0.795880149812734,0.04377378377134676,0.6457399103139013,stock,0.7980774032459426
28,AMT,0.7891885143570536,0.05210105046842685,0.5089686098654709,0.7516013437849944,0.031896413187367814,0.5095541401273885,0.8117103620474408,0.04602814589104553,0.5089686098654709,both,0.8117103620474408
32,AON,0.8093882646691636,0.02676933669050205,0.5605381165919282,0.7071444568868981,0.05562953396714088,0.5562632696390658,0.8161048689138577,0.017179542983040776,0.5605381165919282,both,0.8161048689138577
37,ARE,0.8519850187265918,0.052010269207853614,0.5717488789237668,0.7261590145576708,0.02104805649461172,0.5668789808917197,0.8430461922596754,0.05222467994561649,0.5717488789237668,stock,0.8519850187265918
39,AVB,0.7824968789013733,0.011681658013510605,0.5762331838565022,0.7091153415453528,0.03479617586934732,0.5668789808917197,0.7824469413233458,0.01599710385711289,0.5762331838565022,stock,0.7824968789013733
42,AXP,0.8273408239700373,0.02322097378277152,0.5919282511210763,0.7281746920492722,0.048168314218840234,0.583864118895966,0.8205742821473159,0.037817487482283,0.5919282511210763,stock,0.8273408239700373
45,BAC,0.8387265917602995,0.04609852486344241,0.5807174887892377,0.7345576707726764,0.02649568967370797,0.5753715498938429,0.8229463171036204,0.030764587945847025,0.5807174887892377,stock,0.8387265917602995
49,BEN,0.8049937578027466,0.02251902399177926,0.5538116591928252,0.7197312430011198,0.05068093810979494,0.535031847133758,0.7892883895131086,0.02121001262370586,0.5538116591928252,stock,0.8049937578027466
54,BK,0.8205493133583023,0.032905567420177036,0.5874439461883408,0.7685330347144458,0.0147357528775776,0.5881104033970276,0.8318851435705369,0.03527194749906425,0.5874439461883408,both,0.8318851435705369
55,BLK,0.8408239700374531,0.03778875881836537,0.6053811659192825,0.7792161254199328,0.030937923789674925,0.6008492569002123,0.8543570536828964,0.031984969997458215,0.6053811659192825,both,0.8543570536828964
63,BXP,0.7913358302122347,0.04404565154665364,0.5179372197309418,0.7325867861142218,0.038015566921173735,0.5095541401273885,0.7800998751560548,0.04900818036642157,0.5179372197309418,stock,0.7913358302122347
64,C,0.8339825218476904,0.029187905616328745,0.5291479820627802,0.7643225083986562,0.04919808140372984,0.524416135881104,0.8654431960049938,0.014438438385450097,0.5291479820627802,both,0.8654431960049938
68,CB,0.8072159800249687,0.047157734206518885,0.5582959641255605,0.7579619260918254,0.027226582198543185,0.5583864118895966,0.7959300873907615,0.050569756313278716,0.5582959641255605,stock,0.8072159800249687
69,CCI,0.7869912609238452,0.03098991871172893,0.5403587443946188,0.751578947368421,0.02399664991769039,0.5371549893842887,0.7802247191011237,0.02455101174606321,0.5403587443946188,stock,0.7869912609238452
73,CFG,0.7959800249687891,0.028645241197844076,0.5919282511210763,0.6943561030235162,0.05211216381039279,0.5817409766454352,0.8139076154806493,0.015139324424038803,0.5919282511210763,both,0.8139076154806493
