,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
2,AAP,0.8184519350811484,0.02545058265589792,0.6098654708520179,0.7199104143337067,0.04559909314313112,0.6008492569002123,0.8117103620474406,0.024568882389589257,0.6098654708520179,stock,0.8184519350811484
29,AMZN,0.7623220973782772,0.02970072875277008,0.5426008968609866,0.7516461366181412,0.0335862923596989,0.5520169851380042,0.7712609238451935,0.043174956805328665,0.5426008968609866,both,0.7712609238451935
43,AZO,0.8363046192259675,0.0154109016345475,0.6031390134529148,0.7155655095184771,0.06034057665890748,0.5944798301486199,0.8273907615480649,0.025927607824574032,0.6031390134529148,stock,0.8363046192259675
47,BBY,0.8342571785268416,0.04361166226420618,0.5650224215246636,0.7473012318029115,0.03736347935287943,0.5583864118895966,0.8521098626716604,0.025321060560801384,0.5650224215246636,both,0.8521098626716604
88,COST,0.8252184769038703,0.05579281352546973,0.6367713004484304,0.7389697648376259,0.04658293131836932,0.6284501061571125,0.8161048689138577,0.05853250815156945,0.6367713004484304,stock,0.8252184769038703
105,DG,0.8654931335830212,0.023422480894743702,0.5852017937219731,0.7686226203807389,0.023180496723477287,0.5817409766454352,0.8565043695380773,0.025002922985414955,0.5852017937219731,stock,0.8654931335830212
109,DLTR,0.802796504369538,0.03448420277944364,0.5269058295964125,0.7197536394176931,0.06434606243372723,0.5201698513800425,0.7937078651685393,0.00592849705989792,0.5269058295964125,stock,0.802796504369538
118,EBAY,0.8431460674157304,0.03774745815477941,0.5470852017937221,0.7727659574468085,0.031627070937977966,0.5435244161358811,0.8453682896379526,0.021092287533227914,0.5470852017937221,both,0.8453682896379526
174,HD,0.8295630461922597,0.0306445885215722,0.6300448430493274,0.7516461366181412,0.02223214108887334,0.6199575371549894,0.8183770287141074,0.022969983136266185,0.6300448430493274,stock,0.8295630461922597
219,KMX,0.840749063670412,0.03807012476229174,0.5493273542600897,0.7536618141097424,0.016350979381895298,0.5435244161358811,0.8295880149812733,0.03984849761279519,0.5493273542600897,stock,0.840749063670412
221,KR,0.8229463171036204,0.04003676608824834,0.5672645739910314,0.7006270996640538,0.035279197662724825,0.5668789808917197,0.7802996254681648,0.03279290902802686,0.5672645739910314,stock,0.8229463171036204
233,LOW,0.836354556803995,0.02693233169285247,0.6412556053811659,0.7686674132138858,0.029543445794885045,0.6369426751592356,0.8364044943820224,0.036190242047995314,0.6412556053811659,both,0.8364044943820224
293,ORLY,0.8521098626716604,0.05207304253378555,0.647982062780269,0.7579619260918253,0.021671886450525882,0.6390658174097664,0.8430461922596754,0.061545831361903024,0.647982062780269,stock,0.8521098626716604
326,RL,0.8071161048689138,0.05013693042900827,0.531390134529148,0.7556774916013438,0.04212029466505777,0.524416135881104,0.8070911360799002,0.07415984224122549,0.531390134529148,stock,0.8071161048689138
332,ROST,0.7961548064918851,0.04829110972017636,0.5067264573991032,0.7304143337066069,0.058989695386107585,0.5095541401273885,0.7916354556803995,0.039472014968182624,0.5067264573991032,stock,0.7961548064918851
361,TJX,0.7982521847690387,0.041785251629364896,0.5672645739910314,0.723986562150056,0.03366140432584048,0.5626326963906582,0.8161048689138577,0.03946648650882245,0.5672645739910314,both,0.8161048689138577
367,TSCO,0.8565293383270911,0.016240541859272827,0.6524663677130045,0.7686002239641658,0.024382755622229517,0.6539278131634819,0.8452684144818976,0.01333987785164185,0.6524663677130045,stock,0.8565293383270911
380,ULTA,0.8026966292134828,0.026144790242245385,0.5560538116591929,0.6730347144456887,0.0667343841513652,0.5520169851380042,0.7960049937578028,0.024636996521436198,0.5560538116591929,stock,0.8026966292134828
394,WBA,0.8274157303370787,0.02143212407652379,0.4932735426008968,0.7113997760358343,0.059046885501986626,0.4798301486199576,0.8566042446941324,0.0289712849242678,0.4932735426008968,both,0.8566042446941324
