,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
13,AEE,0.7914856429463172,0.016716114744837522,0.5067264573991032,0.7303919372900336,0.05596091462727653,0.5031847133757962,0.8048938826466916,0.024474304588953413,0.5067264573991032,both,0.8048938826466916
14,AEP,0.8229712858926342,0.02609686418068196,0.5224215246636771,0.7560358342665174,0.04805582147885283,0.5116772823779193,0.8206242197253435,0.01881831883733468,0.5224215246636771,stock,0.8229712858926342
41,AWK,0.8722097378277154,0.01129671461963077,0.5807174887892377,0.7791489361702127,0.07394221619241545,0.5711252653927813,0.8654182272159799,0.023810853036468703,0.5807174887892377,stock,0.8722097378277154
84,CNP,0.8205992509363297,0.04776419046271119,0.5672645739910314,0.723986562150056,0.03982189934784984,0.5626326963906582,0.8137578027465668,0.06826817602847306,0.5672645739910314,stock,0.8205992509363297
101,D,0.8073158551810238,0.03619575418974396,0.5134529147982063,0.7282642777155657,0.0472102755580246,0.5116772823779193,0.8140074906367042,0.02620181462351432,0.5134529147982063,both,0.8140074906367042
114,DTE,0.7937078651685394,0.06383604804632691,0.5852017937219731,0.7156326987681971,0.045281965425791895,0.5796178343949044,0.7914357053682897,0.061095703247376815,0.5852017937219731,stock,0.7937078651685394
120,ED,0.8095630461922596,0.03726056168472665,0.5156950672645739,0.7835162374020157,0.05617829382620365,0.5222929936305732,0.8140324594257178,0.03644601684892186,0.5156950672645739,both,0.8140324594257178
122,EIX,0.7936329588014981,0.021528251480449314,0.5112107623318386,0.7220604703247478,0.04861699258142035,0.5095541401273885,0.7690137328339576,0.017342149656001563,0.5112107623318386,stock,0.7936329588014981
130,ES,0.8318601747815231,0.04863227897331317,0.5022421524663677,0.7898544232922733,0.024176783867904072,0.4968152866242038,0.8385268414481898,0.03082058960999639,0.5022421524663677,both,0.8385268414481898
142,FE,0.7914856429463171,0.03926697534070449,0.5582959641255605,0.7409406494960806,0.047558019342626066,0.5583864118895966,0.7914606741573034,0.024344454047552092,0.5582959641255605,stock,0.7914856429463171
232,LNT,0.8205992509363297,0.03346562981826017,0.5201793721973094,0.7645240761478164,0.059639407558472225,0.5159235668789809,0.8295880149812735,0.02605622042086304,0.5201793721973094,both,0.8295880149812735
269,NEE,0.8273657927590511,0.024104698730294728,0.5874439461883408,0.7260246360582306,0.04627424866806409,0.583864118895966,0.8205742821473159,0.019227329426285383,0.5874439461883408,stock,0.8273657927590511
272,NI,0.8093632958801501,0.02595913625642468,0.5762331838565022,0.7156103023516238,0.04344481109782405,0.5668789808917197,0.7913857677902622,0.034236389159629815,0.5762331838565022,stock,0.8093632958801501
280,NRG,0.8361797752808989,0.039670400669855964,0.5582959641255605,0.7514669652855543,0.03843799308180172,0.554140127388535,0.8384269662921348,0.04667670520437655,0.5582959641255605,both,0.8384269662921348
298,PEG,0.7690137328339575,0.040794783536080514,0.5538116591928252,0.7197088465845465,0.032264834589589154,0.5562632696390658,0.7644943820224719,0.027167786534305485,0.5538116591928252,stock,0.7690137328339575
309,PNW,0.8159800249687891,0.04783722842427274,0.4775784753363229,0.8090481522956325,0.051903442935031886,0.4777070063694268,0.8182022471910113,0.04720385058083578,0.4775784753363229,both,0.8182022471910113
345,SO,0.8251685393258427,0.022624203053758597,0.5448430493273543,0.7707054871220604,0.060377873003444125,0.5435244161358811,0.8407990012484394,0.0329048853444778,0.5448430493273543,both,0.8407990012484394
348,SRE,0.8162047440699125,0.05643489859253178,0.5156950672645739,0.7346472564389697,0.03589626495591479,0.5138004246284501,0.8117602996254683,0.04047550831397894,0.5156950672645739,stock,0.8162047440699125
396,WEC,0.8140324594257178,0.05426112535937114,0.5067264573991032,0.7558118701007838,0.041613578628283535,0.5053078556263271,0.8139575530586767,0.056899284879618685,0.5067264573991032,stock,0.8140324594257178
407,XEL,0.8430212234706616,0.05325074145630365,0.5269058295964125,0.7220156774916013,0.04097397326969469,0.5265392781316348,0.8318851435705369,0.04529998974540165,0.5269058295964125,stock,0.8430212234706616
