,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AAL,0.8143071161048688,0.028882057811826036,0.4854586129753915,0.7754311310190369,0.05029153117590416,0.4788135593220339,0.8209488139825218,0.03584899045525952,0.4854586129753915,both,0.8209488139825218
AAME,0.8076154806491885,0.025786848529915484,0.46756152125279643,0.713952967525196,0.04103391475796405,0.4491525423728814,0.7941573033707865,0.020955107314781236,0.46756152125279643,stock,0.8076154806491885
AAOI,0.8390012484394507,0.03478552898485954,0.4988814317673378,0.783740201567749,0.05768311765152958,0.5042372881355932,0.8255181023720348,0.042866807914230996,0.4988814317673378,stock,0.8390012484394507
AAON,0.7987016229712859,0.011419666120361775,0.5436241610738255,0.7541545352743562,0.028699729825147836,0.5360169491525424,0.832234706616729,0.01563381200811611,0.5436241610738255,both,0.832234706616729
AAPL,0.8231960049937579,0.017156737916415872,0.6420581655480985,0.7056215005599104,0.03277074102119368,0.635593220338983,0.8276404494382023,0.043329418070481525,0.6420581655480985,both,0.8276404494382023
AAWW,0.8323096129837703,0.03275334136165693,0.6085011185682326,0.7881298992161254,0.048442522326720784,0.6080508474576272,0.8523845193508114,0.02476352582522182,0.6085011185682326,both,0.8523845193508114
ABCB,0.8188264669163546,0.03864039294759683,0.5436241610738255,0.7288689809630459,0.026717939361311043,0.538135593220339,0.8166042446941324,0.04709685498865831,0.5436241610738255,stock,0.8188264669163546
ABCD,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ABCO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ABGOY,1.0,0.0,0.5,0.9468533034714446,0.023368769209782016,0.08280254777070063,0.9777777777777779,0.04444444444444447,0.5,stock,1.0
ABIO,0.7965043695380775,0.035251208335887366,0.3668903803131991,0.7585666293393057,0.035569853142593685,0.3792372881355932,0.7875655430711611,0.04820260772061023,0.3668903803131991,stock,0.7965043695380775
ABMD,0.8254182272159799,0.04237598534366399,0.5950782997762863,0.7479283314669652,0.02581948424520769,0.5911016949152542,0.8478152309612984,0.01721325931647739,0.5950782997762863,both,0.8478152309612984
ACAD,0.7966292134831461,0.04502766489095451,0.4697986577181208,0.7349608062709966,0.06689084163167339,0.4788135593220339,0.780948813982522,0.041109547214759075,0.4697986577181208,stock,0.7966292134831461
ACET,0.8276654182272161,0.029171261784260504,0.4988814317673378,0.7201567749160135,0.04868117583963746,0.5,0.816629213483146,0.023527887311800732,0.4988814317673378,stock,0.8276654182272161
ACFC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ACFN,0.7561548064918853,0.02872370246242304,0.44966442953020136,0.6779171332586786,0.030217024130948095,0.4470338983050847,0.7718851435705367,0.03243400521934876,0.44966442953020136,both,0.7718851435705367
