,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AAC,0.7693650793650794,0.046178201609145375,0.4044943820224719,0.7193902439024391,0.06394059557156473,0.4187192118226601,0.7634920634920636,0.06930712045911368,0.4044943820224719,stock,0.7693650793650794
AAP,0.8255930087390763,0.02233471785157175,0.6085011185682326,0.7204031354983202,0.045227365994403114,0.5995762711864406,0.8210486891385766,0.011957312961729928,0.6085011185682326,stock,0.8255930087390763
AAT,0.8098876404494382,0.01348670596182366,0.5145413870246085,0.7373796192609182,0.03431372225227997,0.5084745762711864,0.8300124843945067,0.026527925349755163,0.5145413870246085,both,0.8300124843945067
AB,0.7851935081148564,0.01368316975769622,0.6263982102908278,0.7352295632698768,0.06283069485776642,0.6165254237288136,0.7739575530586766,0.031663496190344524,0.6263982102908278,stock,0.7851935081148564
ABC,0.7272159800249688,0.033044756075037894,0.5346756152125279,0.7097872340425532,0.03730234622818751,0.5317796610169492,0.7495131086142323,0.04034747710952871,0.5346756152125279,both,0.7495131086142323
ABG,0.7988014981273408,0.03365822395465535,0.5816554809843401,0.7055543113101904,0.049074611791636934,0.5720338983050848,0.8075405742821472,0.03137391679974717,0.5816554809843401,both,0.8075405742821472
ABM,0.7942821473158551,0.03982270586432772,0.5346756152125279,0.7311534154535275,0.055057908528961925,0.5317796610169492,0.7965293383270912,0.049200579013086006,0.5346756152125279,both,0.7965293383270912
ABR,0.8052684144818976,0.05088124607197902,0.6286353467561522,0.7267413213885778,0.03468664855374305,0.6186440677966102,0.7940823970037453,0.03122812014095956,0.6286353467561522,stock,0.8052684144818976
ABT,0.8075905118601747,0.03986776792352038,0.5906040268456376,0.7690481522956326,0.018501202435516503,0.586864406779661,0.8165043695380774,0.040609599533653444,0.5906040268456376,both,0.8165043695380774
ACC,0.7986766541822721,0.018368884913222566,0.5704697986577181,0.7119596864501679,0.021302324280150383,0.565677966101695,0.7808739076154807,0.03127886750538854,0.5704697986577181,stock,0.7986766541822721
ACG,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ACGL,0.8030461922596753,0.05033193848475706,0.5324384787472036,0.7480403135498319,0.03314034017925696,0.5233050847457628,0.8009238451935081,0.053177987321540506,0.5324384787472036,stock,0.8030461922596753
ACH,0.8212734082397002,0.0490335524933969,0.49217002237136465,0.7393505039193728,0.027850247939370628,0.4830508474576271,0.8055430711610487,0.047881622709047444,0.49217002237136465,stock,0.8212734082397002
ACP,0.8254931335830212,0.023042337059179793,0.5950782997762863,0.7394624860022396,0.03846897333780094,0.5847457627118644,0.7962796504369538,0.028727392030851753,0.5950782997762863,stock,0.8254931335830212
ACRE,0.8076654182272159,0.015706856819396642,0.5749440715883669,0.7394624860022396,0.026651133458899464,0.565677966101695,0.8031710362047442,0.012723208987714684,0.5749440715883669,stock,0.8076654182272159
ADC,0.8255680399500624,0.024620973214303468,0.5257270693512305,0.7202911534154535,0.030737023573797907,0.5233050847457628,0.8211485642946317,0.03756766523381378,0.5257270693512305,stock,0.8255680399500624
ADPT,0.809812734082397,0.0444658731603635,0.5391498881431768,0.7605375139977604,0.030892493770395164,0.5402542372881356,0.8232209737827716,0.05970720896807586,0.5391498881431768,both,0.8232209737827716
ADS,0.8299126092384519,0.0315934222517211,0.5033557046979866,0.7688913773796193,0.0440489974554628,0.5,0.8321598002496879,0.03123969715651846,0.5033557046979866,both,0.8321598002496879
AEL,0.7919850187265918,0.027694698243369335,0.5413870246085011,0.7138633818589026,0.03578155417510088,0.5360169491525424,0.7763046192259675,0.035387249113885515,0.5413870246085011,stock,0.7919850187265918
AEM,0.8300624219725343,0.02907608780129175,0.5279642058165548,0.7732138857782755,0.0380495541634074,0.5296610169491526,0.812234706616729,0.035394876737404796,0.5279642058165548,stock,0.8300624219725343
AEO,0.7899126092384519,0.04724668917516764,0.5883668903803132,0.7585218365061589,0.036735899362823385,0.5741525423728814,0.8100124843945069,0.05630018446151768,0.5883668903803132,both,0.8100124843945069
AEP,0.8166541822721598,0.0444316496052133,0.5234899328859061,0.7691825307950728,0.03281754493966827,0.5127118644067796,0.8210237203495631,0.029998168587850923,0.5234899328859061,both,0.8210237203495631
AER,0.7852933832709114,0.04310226310147049,0.5682326621923938,0.7118701007838746,0.007586403877926242,0.5635593220338984,0.7942072409488139,0.03269992532790981,0.5682326621923938,both,0.7942072409488139
AFB,0.8052684144818976,0.02272055532584502,0.5749440715883669,0.705531914893617,0.038003069598809655,0.5677966101694916,0.8254431960049937,0.03821565944088258,0.5749440715883669,both,0.8254431960049937
