,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AAL,0.792,0.078587530817554,0.532,0.76,0.055136195008360894,0.504,0.812,0.08818163074019442,0.532,both,0.812
AAME,0.756,0.04270831300812525,0.5,0.652,0.09260669522232183,0.468,0.744,0.05122499389946277,0.5,stock,0.756
AAOI,0.828,0.06273754856543251,0.56,0.7399999999999999,0.0681175454637056,0.572,0.8280000000000001,0.048332183894378294,0.56,both,0.8280000000000001
AAON,0.784,0.040792156108742275,0.572,0.692,0.027129319932501048,0.592,0.8,0.043817804600413277,0.572,both,0.8
AAPL,0.8160000000000001,0.04270831300812524,0.656,0.692,0.04833218389437828,0.648,0.836,0.03666060555964671,0.656,both,0.836
AAWW,0.8240000000000001,0.04963869458396343,0.62,0.752,0.03709447398198285,0.608,0.836,0.042708313008125234,0.62,both,0.836
ABCB,0.8280000000000001,0.05455272678794342,0.616,0.732,0.043081318457076044,0.612,0.836,0.07200000000000001,0.616,both,0.836
ABCD,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ABCO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ABGOY,1.0,0.0,0.5,0.9359999999999999,0.038781438859330615,0.1,1.0,0.0,0.5,stock,1.0
ABIO,0.812,0.02993325909419151,0.38,0.736,0.05276362383309169,0.416,0.7879999999999999,0.027129319932501072,0.38,stock,0.812
ABMD,0.784,0.05571355310873649,0.64,0.732,0.03709447398198285,0.624,0.8,0.06572670690061995,0.64,both,0.8
ACAD,0.8400000000000001,0.041952353926806074,0.472,0.764,0.07088018058667739,0.524,0.8160000000000001,0.038781438859330615,0.472,stock,0.8400000000000001
ACET,0.784,0.05425863986500212,0.52,0.6960000000000001,0.05571355310873648,0.544,0.796,0.04079215610874226,0.52,both,0.796
ACFC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ACFN,0.6799999999999999,0.07266360849833978,0.492,0.608,0.04995998398718718,0.448,0.692,0.07547184905645286,0.492,both,0.692
ACGL,0.8320000000000001,0.03487119154832539,0.564,0.708,0.06144916598294887,0.516,0.8560000000000001,0.0344093010681705,0.564,both,0.8560000000000001
ACHC,0.804,0.055713553108736484,0.648,0.72,0.06066300355241237,0.632,0.828,0.05153639490690051,0.648,both,0.828
ACHN,1.0,0.0,0.4375,0.8242424242424242,0.12671233046700045,0.3448275862068966,1.0,0.0,0.4375,stock,1.0
ACIW,0.812,0.06144916598294887,0.564,0.6719999999999999,0.07332121111929346,0.544,0.808,0.06144916598294887,0.564,stock,0.812
ACLS,0.8320000000000001,0.06645299090334458,0.616,0.7200000000000001,0.04,0.6,0.7959999999999999,0.061188234163113434,0.616,stock,0.8320000000000001
ACNB,0.828,0.06013318551349161,0.524,0.7319999999999999,0.02039607805437116,0.528,0.7959999999999999,0.019595917942265388,0.524,stock,0.828
ACOR,0.836,0.06374950980203688,0.388,0.732,0.06881860213634101,0.408,0.8400000000000001,0.050596442562694056,0.388,both,0.8400000000000001
ACRX,0.804,0.07735631842325486,0.444,0.7,0.025298221281347007,0.472,0.8160000000000001,0.0741889479639656,0.444,both,0.8160000000000001
ACST,0.8560000000000001,0.07939773296511686,0.492,0.768,0.04118252056394801,0.512,0.852,0.06523802572120035,0.492,stock,0.8560000000000001
ACTA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ACTG,0.8800000000000001,0.0521536192416212,0.48,0.772,0.016000000000000014,0.496,0.876,0.05713142742834279,0.48,stock,0.8800000000000001
ACUR,0.688,0.04118252056394799,0.42,0.6040000000000001,0.04630334761116091,0.412,0.6960000000000001,0.052763623833091675,0.42,both,0.6960000000000001
ADBE,0.8160000000000001,0.059866518188383074,0.64,0.7040000000000001,0.058514955353311186,0.604,0.8119999999999999,0.06764613810115105,0.64,stock,0.8160000000000001
ADES,0.7479999999999999,0.06013318551349161,0.448,0.692,0.07959899496852958,0.468,0.752,0.029933259094191558,0.448,both,0.752
ADI,0.784,0.062481997407253236,0.632,0.66,0.03346640106136301,0.604,0.768,0.05153639490690048,0.632,stock,0.784
ADMA,0.768,0.06645299090334458,0.428,0.732,0.10925200226998133,0.452,0.784,0.05571355310873645,0.428,both,0.784
ADMP,0.8480000000000001,0.06399999999999999,0.492,0.74,0.04195235392680607,0.508,0.8480000000000001,0.07222188034107117,0.492,stock,0.8480000000000001
ADMS,0.8240000000000001,0.06621178142898741,0.496,0.728,0.07652450587883597,0.516,0.844,0.058514955353311186,0.496,both,0.844
ADP,0.792,0.043081318457076016,0.592,0.7120000000000001,0.07110555533852474,0.568,0.812,0.02712931993250105,0.592,both,0.812
ADSK,0.7200000000000001,0.03577708763999662,0.612,0.652,0.0448998886412873,0.596,0.7360000000000001,0.04079215610874228,0.612,both,0.7360000000000001
ADTN,0.828,0.02712931993250106,0.584,0.7160000000000001,0.0463033476111609,0.576,0.836,0.034409301068170514,0.584,both,0.836
ADUS,0.788,0.08541662601625048,0.568,0.708,0.05455272678794343,0.576,0.804,0.0662117814289874,0.568,both,0.804
ADXS,0.8240000000000001,0.07200000000000002,0.436,0.732,0.029933259094191558,0.46,0.78,0.07797435475847171,0.436,stock,0.8240000000000001
AEHR,0.844,0.014966629547095779,0.536,0.744,0.06499230723708765,0.524,0.8320000000000001,0.03919183588453085,0.536,stock,0.844
AEIS,0.828,0.03249615361854382,0.628,0.724,0.058514955353311145,0.612,0.808,0.04308131845707602,0.628,stock,0.828
AELTF,0.78,0.07483314773547882,0.524,0.7959999999999999,0.042708313008125234,0.32,0.784,0.08522910301065006,0.524,covid,0.7959999999999999
AERI,0.8280000000000001,0.06523802572120037,0.524,0.708,0.039191835884530846,0.5,0.7919999999999999,0.043081318457076016,0.524,stock,0.8280000000000001
AEY,0.8640000000000001,0.034409301068170535,0.416,0.764,0.008000000000000007,0.424,0.8800000000000001,0.02529822128134706,0.416,both,0.8800000000000001
AEZS,0.82,0.055136195008360894,0.436,0.7559999999999999,0.04454211490264017,0.452,0.836,0.05425863986500215,0.436,both,0.836
AFAM,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AFCB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AFMD,0.852,0.027129319932501096,0.536,0.696,0.04963869458396342,0.516,0.8200000000000001,0.03794733192202054,0.536,stock,0.852
AFSI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AGEN,0.852,0.06013318551349165,0.432,0.764,0.06974238309665078,0.464,0.852,0.05878775382679629,0.432,stock,0.852
AGIO,0.8640000000000001,0.04079215610874232,0.544,0.804,0.05851495535331117,0.544,0.8560000000000001,0.0344093010681705,0.544,stock,0.8640000000000001
AGRX,0.78,0.04381780460041329,0.468,0.68,0.05932958789676531,0.492,0.76,0.0438178046004133,0.468,stock,0.78
AGTC,0.8400000000000001,0.03346640106136301,0.5,0.6960000000000001,0.04079215610874226,0.512,0.8640000000000001,0.029393876913398165,0.5,both,0.8640000000000001
AGYS,0.804,0.054258639865002144,0.62,0.688,0.064,0.624,0.808,0.04833218389437829,0.62,both,0.808
AHGP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AHPI,0.8,0.05513619500836089,0.384,0.7799999999999999,0.050596442562694056,0.372,0.8080000000000002,0.06881860213634103,0.384,both,0.8080000000000002
AIMC,0.8240000000000001,0.03440930106817049,0.62,0.696,0.09068627239003707,0.616,0.8160000000000001,0.023323807579381173,0.62,stock,0.8240000000000001
AINV,0.8320000000000001,0.07222188034107113,0.56,0.764,0.04270831300812524,0.52,0.828,0.06013318551349163,0.56,stock,0.8320000000000001
AIQ,0.828,0.034871191548325374,0.724,0.788,0.04118252056394799,0.724,0.8400000000000001,0.04560701700396553,0.724,both,0.8400000000000001
AIRT,0.844,0.04963869458396343,0.452,0.7159999999999999,0.0512249938994628,0.448,0.808,0.06764613810115107,0.452,stock,0.844
AJISF,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,stock,1.0
AKAM,0.82,0.04195235392680606,0.556,0.72,0.03577708763999662,0.54,0.796,0.04963869458396343,0.556,stock,0.82
AKBA,0.82,0.04732863826479693,0.532,0.7559999999999999,0.05122499389946278,0.532,0.8320000000000001,0.041182520563948,0.532,both,0.8320000000000001
ALCO,0.784,0.029393876913398138,0.504,0.5840000000000001,0.02939387691339811,0.5,0.76,0.04195235392680607,0.504,stock,0.784
ALDX,0.8119999999999999,0.06764613810115107,0.576,0.6759999999999999,0.05851495535331118,0.568,0.78,0.057965506984757754,0.576,stock,0.8119999999999999
ALGN,0.8039999999999999,0.0463033476111609,0.612,0.74,0.06572670690061991,0.596,0.8119999999999999,0.07440430095095309,0.612,both,0.8119999999999999
ALGT,0.776,0.06621178142898737,0.648,0.7,0.11242775458044153,0.624,0.8119999999999999,0.06144916598294887,0.648,both,0.8119999999999999
ALIM,0.8320000000000001,0.029933259094191523,0.428,0.796,0.09068627239003707,0.416,0.8320000000000001,0.020396078054371124,0.428,stock,0.8320000000000001
ALKS,0.8240000000000001,0.03440930106817049,0.552,0.7799999999999999,0.0438178046004133,0.56,0.8119999999999999,0.02712931993250105,0.552,stock,0.8240000000000001
ALLT,0.8240000000000001,0.058514955353311186,0.556,0.7,0.041952353926806046,0.54,0.8480000000000001,0.05306599664568641,0.556,both,0.8480000000000001
ALNY,0.8480000000000001,0.0448998886412873,0.476,0.732,0.029933259094191558,0.496,0.8520000000000001,0.04118252056394801,0.476,both,0.8520000000000001
ALOG,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AMAT,0.7959999999999999,0.048,0.672,0.704,0.059866518188383074,0.64,0.7799999999999999,0.06066300355241238,0.672,stock,0.7959999999999999
AMBA,0.82,0.03794733192202054,0.568,0.708,0.041182520563948,0.576,0.8200000000000001,0.017888543819998284,0.568,both,0.8200000000000001
AMBC,0.8320000000000001,0.039191835884530846,0.504,0.776,0.055713553108736484,0.492,0.852,0.046647615158762416,0.504,both,0.852
AMCF,0.8119999999999999,0.05741080037762931,0.548,0.656,0.05425863986500216,0.524,0.8,0.05215361924162119,0.548,stock,0.8119999999999999
AMCX,0.808,0.04118252056394799,0.548,0.76,0.10430723848324236,0.552,0.792,0.041182520563948,0.548,stock,0.808
AMD,0.8480000000000001,0.06523802572120034,0.524,0.7120000000000001,0.04664761515876242,0.536,0.852,0.0744043009509531,0.524,both,0.852
AMED,0.8240000000000001,0.06621178142898737,0.592,0.7440000000000001,0.05122499389946279,0.572,0.828,0.04833218389437829,0.592,both,0.828
AMGN,0.8280000000000001,0.0515363949069005,0.52,0.664,0.03199999999999997,0.5,0.844,0.03440930106817051,0.52,both,0.844
AMKR,0.776,0.05851495535331115,0.612,0.712,0.027129319932501044,0.608,0.768,0.05153639490690049,0.612,stock,0.776
AMNB,0.8,0.06066300355241241,0.528,0.7080000000000001,0.05153639490690049,0.516,0.792,0.06881860213634103,0.528,stock,0.8
AMOT,0.808,0.02039607805437111,0.588,0.672,0.06013318551349161,0.576,0.808,0.02039607805437111,0.588,stock,0.808
AMPH,0.8160000000000001,0.038781438859330615,0.464,0.74,0.07483314773547879,0.476,0.8480000000000001,0.03487119154832539,0.464,both,0.8480000000000001
AMRN,0.784,0.04630334761116091,0.496,0.732,0.0744043009509531,0.488,0.76,0.052153619241621166,0.496,stock,0.784
AMRS,0.876,0.03440930106817049,0.564,0.792,0.041182520563948,0.58,0.9,0.028284271247461894,0.564,both,0.9
AMSC,0.8039999999999999,0.02939387691339811,0.592,0.748,0.05741080037762931,0.62,0.82,0.045607017003965515,0.592,both,0.82
AMSWA,0.8480000000000001,0.06645299090334462,0.64,0.768,0.05878775382679626,0.644,0.86,0.0632455532033676,0.64,both,0.86
AMTX,0.808,0.03919183588453084,0.692,0.748,0.027129319932501096,0.656,0.8200000000000001,0.03794733192202054,0.692,both,0.8200000000000001
AMWD,0.764,0.051224993899462806,0.604,0.692,0.046647615158762396,0.584,0.7719999999999999,0.05153639490690051,0.604,both,0.7719999999999999
AMX,0.8560000000000001,0.06974238309665076,0.536,0.752,0.04833218389437827,0.472,0.836,0.06621178142898737,0.536,stock,0.8560000000000001
AMZN,0.76,0.07042726744663605,0.616,0.7,0.09208691546577069,0.62,0.728,0.054552726787943394,0.616,stock,0.76
ANAC,0.7731060606060607,0.05912489310256173,0.4171779141104294,0.707823613086771,0.058330846140927754,0.39361702127659576,0.7553030303030303,0.0678273614715133,0.4171779141104294,stock,0.7731060606060607
ANAT,0.8560000000000001,0.051224993899462765,0.592,0.72,0.06066300355241238,0.532,0.8240000000000001,0.05122499389946279,0.592,stock,0.8560000000000001
ANCB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ANCX,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ANDE,0.7280000000000001,0.03919183588453085,0.592,0.66,0.04732863826479695,0.592,0.744,0.04270831300812524,0.592,both,0.744
ANGI,0.8119999999999999,0.044899888641287286,0.596,0.716,0.038781438859330636,0.576,0.8320000000000001,0.04308131845707603,0.596,both,0.8320000000000001
ANGO,0.8320000000000001,0.041182520563948,0.584,0.6719999999999999,0.0627375485654325,0.56,0.828,0.048332183894378294,0.584,stock,0.8320000000000001
ANIK,0.836,0.0463033476111609,0.54,0.7040000000000001,0.04800000000000001,0.528,0.844,0.03440930106817051,0.54,both,0.844
ANIP,0.8480000000000001,0.029933259094191523,0.46,0.744,0.042708313008125234,0.456,0.844,0.01959591794226544,0.46,stock,0.8480000000000001
ANTH,0.7879999999999999,0.037094473981982796,0.464,0.708,0.0370944739819828,0.484,0.7959999999999999,0.05122499389946279,0.464,both,0.7959999999999999
ANY,0.8800000000000001,0.021908902300206666,0.472,0.7879999999999999,0.061449165982948875,0.476,0.86,0.030983866769659366,0.472,stock,0.8800000000000001
AOSL,0.8160000000000001,0.023323807579381177,0.58,0.68,0.04381780460041329,0.568,0.8320000000000001,0.06523802572120037,0.58,both,0.8320000000000001
APDN,0.784,0.0344093010681705,0.468,0.736,0.07939773296511686,0.472,0.784,0.03199999999999999,0.468,stock,0.784
APEI,0.8,0.021908902300206624,0.548,0.688,0.04833218389437828,0.544,0.788,0.027129319932501072,0.548,stock,0.8
APOG,0.7999999999999999,0.03346640106136301,0.596,0.7160000000000001,0.04963869458396344,0.572,0.82,0.03346640106136301,0.596,both,0.82
APTO,0.836,0.040792156108742275,0.448,0.8200000000000001,0.03577708763999662,0.456,0.836,0.0344093010681705,0.448,stock,0.836
APWC,0.8240000000000001,0.05851495535331117,0.492,0.724,0.03878143885933063,0.492,0.8160000000000001,0.044542114902640165,0.492,stock,0.8240000000000001
ARAY,0.788,0.020396078054371124,0.568,0.696,0.0662117814289874,0.576,0.776,0.014966629547095779,0.568,stock,0.788
ARCB,0.828,0.020396078054371127,0.676,0.7,0.04898979485566355,0.656,0.828,0.015999999999999973,0.676,stock,0.828
ARCC,0.852,0.04489988864128728,0.612,0.7919999999999999,0.039191835884530846,0.592,0.86,0.033466401061363046,0.612,both,0.86
ARCK,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ARCW,0.7,0.06066300355241241,0.584,0.5640000000000001,0.07838367176906172,0.544,0.68,0.06572670690061995,0.584,stock,0.7
ARDX,0.8560000000000001,0.029393876913398165,0.52,0.736,0.0344093010681705,0.508,0.8320000000000001,0.041182520563948,0.52,stock,0.8560000000000001
ARII,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ARIS,0.7761904761904762,0.1274198872405681,0.3870967741935484,0.7500000000000001,0.12026142323020868,0.5,0.7428571428571429,0.0758922735738535,0.3870967741935484,stock,0.7761904761904762
ARKR,0.74,0.033466401061363046,0.532,0.6599999999999999,0.08671793355471519,0.508,0.752,0.02039607805437116,0.532,both,0.752
ARLP,0.804,0.047999999999999994,0.5,0.744,0.04270831300812525,0.476,0.804,0.04079215610874226,0.5,stock,0.804
ARNA,0.852,0.043081318457076044,0.616,0.7959999999999999,0.07631513611335566,0.656,0.852,0.027129319932501096,0.616,stock,0.852
AROW,0.788,0.0844748483277715,0.528,0.7,0.012649110640673493,0.516,0.772,0.05599999999999999,0.528,stock,0.788
ARRY,0.812,0.04833218389437829,0.464,0.748,0.04833218389437827,0.46,0.8,0.02529822128134702,0.464,stock,0.812
ARTNA,0.8400000000000001,0.04,0.464,0.6799999999999999,0.0565685424949238,0.452,0.8560000000000001,0.03200000000000003,0.464,both,0.8560000000000001
ASMB,0.7479999999999999,0.04995998398718719,0.436,0.76,0.04195235392680607,0.464,0.744,0.07418894796396563,0.436,covid,0.76
ASML,0.844,0.03878143885933063,0.716,0.732,0.016000000000000014,0.692,0.844,0.03440930106817051,0.716,stock,0.844
ASPS,0.876,0.04800000000000001,0.508,0.78,0.02529822128134702,0.496,0.8480000000000001,0.04308131845707603,0.508,stock,0.876
ASRV,0.784,0.07939773296511682,0.536,0.6799999999999999,0.02828427124746188,0.524,0.7600000000000001,0.052153619241621194,0.536,stock,0.784
ASTC,0.836,0.03199999999999999,0.472,0.68,0.07694153624668536,0.476,0.8119999999999999,0.04833218389437829,0.472,stock,0.836
ASTE,0.7879999999999999,0.0574108003776293,0.564,0.7520000000000001,0.027129319932501096,0.56,0.82,0.05059644256269406,0.564,both,0.82
ASTI,0.8119999999999999,0.02039607805437111,0.468,0.692,0.02712931993250105,0.464,0.812,0.02712931993250105,0.468,both,0.812
ASUR,0.764,0.0512249938994628,0.544,0.7040000000000001,0.02939387691339811,0.532,0.768,0.04995998398718718,0.544,both,0.768
ASYS,0.8480000000000001,0.02400000000000002,0.564,0.776,0.05571355310873648,0.564,0.8480000000000001,0.03709447398198282,0.564,stock,0.8480000000000001
ATAI,0.9,0.067700320038633,0.3445378151260504,0.8889162561576354,0.013499694193147537,0.3263888888888889,0.875,0.09128709291752769,0.3445378151260504,stock,0.9
ATAX,0.804,0.061188234163113434,0.488,0.7,0.02529822128134702,0.46,0.7879999999999999,0.06144916598294887,0.488,stock,0.804
ATEC,0.752,0.0699714227381436,0.64,0.6479999999999999,0.046647615158762396,0.628,0.7479999999999999,0.04995998398718719,0.64,stock,0.752
ATHN,0.7116809116809117,0.09085862719429574,0.4621212121212121,0.6425403225806451,0.08762533761352052,0.4585987261146497,0.696011396011396,0.11851851851851851,0.4621212121212121,stock,0.7116809116809117
ATHX,0.7839999999999999,0.047999999999999994,0.44,0.736,0.023323807579381222,0.48,0.7999999999999999,0.050596442562694056,0.44,both,0.7999999999999999
