,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AAC,0.785873015873016,0.06258357979184,0.4044943820224719,0.7148780487804878,0.09192371976699006,0.4187192118226601,0.785873015873016,0.07818552014660136,0.4044943820224719,stock,0.785873015873016
AAP,0.86,0.04195235392680605,0.62,0.7120000000000001,0.027129319932501048,0.584,0.8480000000000001,0.05878775382679629,0.62,stock,0.86
AAT,0.8039999999999999,0.03878143885933063,0.492,0.768,0.0448998886412873,0.484,0.82,0.012649110640673493,0.492,both,0.82
AB,0.7799999999999999,0.04898979485566356,0.656,0.716,0.05276362383309169,0.62,0.764,0.05425863986500212,0.656,stock,0.7799999999999999
ABC,0.736,0.038781438859330636,0.536,0.644,0.0344093010681705,0.504,0.7040000000000001,0.04079215610874226,0.536,stock,0.736
ABG,0.7799999999999999,0.045607017003965515,0.66,0.672,0.07222188034107115,0.62,0.764,0.08039900496896711,0.66,stock,0.7799999999999999
ABM,0.8,0.05513619500836089,0.6,0.728,0.07652450587883594,0.576,0.812,0.04833218389437829,0.6,both,0.812
ABR,0.744,0.046303347611160874,0.656,0.728,0.02039607805437116,0.652,0.764,0.042708313008125255,0.656,both,0.764
ABT,0.812,0.0370944739819828,0.604,0.7639999999999999,0.04630334761116089,0.596,0.788,0.0370944739819828,0.604,stock,0.812
ACC,0.8360000000000001,0.09583318840568748,0.56,0.708,0.08634813257969161,0.532,0.8440000000000001,0.04630334761116091,0.56,both,0.8440000000000001
ACG,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ACGL,0.836,0.029393876913398106,0.564,0.724,0.06118823416311342,0.516,0.852,0.0483321838943783,0.564,both,0.852
ACH,0.8039999999999999,0.04963869458396342,0.484,0.7040000000000001,0.06118823416311343,0.468,0.7999999999999999,0.0632455532033676,0.484,stock,0.8039999999999999
ACP,0.828,0.032496153618543834,0.656,0.732,0.0664529909033446,0.624,0.844,0.05276362383309165,0.656,both,0.844
ACRE,0.796,0.03440930106817049,0.576,0.7040000000000001,0.04454211490264017,0.572,0.792,0.020396078054371127,0.576,stock,0.796
ADC,0.7959999999999999,0.029393876913398106,0.544,0.64,0.07155417527999329,0.516,0.8039999999999999,0.026532998322843178,0.544,both,0.8039999999999999
ADPT,0.8280000000000001,0.041182520563947986,0.588,0.752,0.07756287771866123,0.6,0.8280000000000001,0.046647615158762396,0.588,stock,0.8280000000000001
ADS,0.8400000000000001,0.045607017003965515,0.604,0.76,0.06811754546370559,0.584,0.852,0.03487119154832538,0.604,both,0.852
AEL,0.7600000000000001,0.017888543819998333,0.492,0.732,0.027129319932501096,0.472,0.7840000000000001,0.046303347611160915,0.492,both,0.7840000000000001
AEM,0.82,0.039999999999999994,0.576,0.7479999999999999,0.037094473981982845,0.556,0.8200000000000001,0.05513619500836089,0.576,both,0.8200000000000001
AEO,0.8240000000000001,0.038781438859330615,0.668,0.828,0.05600000000000001,0.632,0.812,0.04308131845707602,0.668,covid,0.828
AEP,0.8280000000000001,0.06144916598294887,0.496,0.7479999999999999,0.06399999999999999,0.428,0.8240000000000001,0.05851495535331118,0.496,stock,0.8280000000000001
AER,0.792,0.07959899496852958,0.58,0.728,0.0711055553385247,0.56,0.828,0.06881860213634103,0.58,both,0.828
AFB,0.804,0.02939387691339811,0.612,0.716,0.05851495535331119,0.588,0.8400000000000001,0.028284271247461894,0.612,both,0.8400000000000001
AFG,0.844,0.05276362383309169,0.568,0.7200000000000001,0.06066300355241242,0.552,0.8280000000000001,0.03487119154832537,0.568,stock,0.844
AFSI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AFT,0.868,0.00979795897113272,0.6,0.74,0.04195235392680605,0.568,0.844,0.026532998322843185,0.6,stock,0.868
AG,0.82,0.025298221281347004,0.62,0.7479999999999999,0.04995998398718719,0.616,0.852,0.02993325909419152,0.62,both,0.852
AGD,0.8240000000000001,0.038781438859330615,0.664,0.744,0.061188234163113406,0.644,0.828,0.06144916598294887,0.664,both,0.828
