,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
A,0.8050187265917603,0.03316550774624965,0.6457399103139013,0.7708398656215005,0.0506849562144709,0.643312101910828,0.8072409488139826,0.03678640762696993,0.6457399103139013,both,0.8072409488139826
AAL,0.7936828963795257,0.01994654648165987,0.48654708520179374,0.7580963045912654,0.04923343692012418,0.47983014861995754,0.811685393258427,0.03838423276008298,0.48654708520179374,both,0.811685393258427
AAP,0.8184519350811484,0.025450582655897922,0.6098654708520179,0.7199104143337067,0.04559909314313112,0.6008492569002123,0.8117103620474406,0.024568882389589257,0.6098654708520179,stock,0.8184519350811484
AAPL,0.8316604244694134,0.041815498658898956,0.6434977578475336,0.726181410974244,0.03327623668860268,0.6369426751592356,0.8182771535580524,0.03405596373814173,0.6434977578475336,stock,0.8316604244694134
ABBV,0.8251685393258427,0.03188794925854696,0.5852017937219731,0.725979843225084,0.0647587650700062,0.583864118895966,0.8050936329588014,0.055895209385425845,0.5852017937219731,stock,0.8251685393258427
ABC,0.7445692883895131,0.040849732447748276,0.5358744394618834,0.7176931690929452,0.028991034490991087,0.5329087048832272,0.742322097378277,0.045341560900139494,0.5358744394618834,stock,0.7445692883895131
ABMD,0.8093133583021224,0.03799422773373209,0.5964125560538116,0.7537066069428893,0.008162748795873292,0.5923566878980892,0.8205742821473159,0.03575844426486201,0.5964125560538116,both,0.8205742821473159
ABT,0.8182771535580524,0.03954488666581306,0.5919282511210763,0.76006718924972,0.023073483584509186,0.5881104033970276,0.8093133583021223,0.03451185258767942,0.5919282511210763,stock,0.8182771535580524
ACN,0.8430711610486892,0.03321318243804549,0.7017937219730942,0.7877267637178053,0.04491241596359672,0.6900212314225053,0.8452684144818976,0.029747836607623732,0.7017937219730942,both,0.8452684144818976
ADI,0.7960049937578028,0.018827857699384627,0.5717488789237668,0.6816349384098543,0.04048829862182119,0.564755838641189,0.8027715355805244,0.031643485270316574,0.5717488789237668,both,0.8027715355805244
ADM,0.8025468164794007,0.057448056063283896,0.625560538116592,0.7558790593505039,0.01258989412994868,0.6220806794055201,0.8137578027465668,0.03845942498838731,0.625560538116592,both,0.8137578027465668
ADP,0.7914357053682897,0.038213147041962846,0.5986547085201793,0.7325643896976484,0.03315141759908241,0.5987261146496815,0.7914856429463171,0.028894876893150772,0.5986547085201793,both,0.7914856429463171
ADSK,0.7600749063670412,0.02631719837851641,0.5874439461883408,0.7006494960806272,0.02622556308226675,0.5796178343949044,0.7869912609238451,0.02753870665300713,0.5874439461883408,both,0.7869912609238451
AEE,0.7914856429463172,0.016716114744837522,0.5067264573991032,0.7303919372900336,0.05596091462727653,0.5031847133757962,0.8048938826466916,0.024474304588953413,0.5067264573991032,both,0.8048938826466916
AEP,0.8229712858926342,0.02609686418068196,0.5224215246636771,0.7560358342665174,0.04805582147885283,0.5116772823779193,0.8206242197253435,0.018818318837334678,0.5224215246636771,stock,0.8229712858926342
AIZ,0.795980024968789,0.007941645115195708,0.57847533632287,0.7473908174692049,0.03854991294340113,0.5711252653927813,0.7959800249687891,0.012808867083208624,0.57847533632287,both,0.7959800249687891
AJG,0.7914856429463172,0.032201065328798135,0.6233183856502242,0.7622844344904814,0.02392524389951979,0.6157112526539278,0.7936828963795255,0.02117459305287388,0.6233183856502242,both,0.7936828963795255
AKAM,0.8274157303370787,0.02143212407652379,0.5717488789237668,0.7772004479283314,0.05520735311122042,0.5796178343949044,0.8274656679151061,0.03145869244496747,0.5717488789237668,both,0.8274656679151061
ALB,0.7623720349563047,0.0554861101400334,0.5964125560538116,0.7112430011198209,0.026479877268628757,0.583864118895966,0.8048689138576778,0.06154641888133773,0.5964125560538116,both,0.8048689138576778
ALGN,0.800274656679151,0.04672703232112389,0.5672645739910314,0.7198656215005599,0.044507805355148734,0.5605095541401274,0.7957553058676654,0.060011381903525285,0.5672645739910314,stock,0.800274656679151
ALK,0.8116354556803994,0.028026773317663872,0.5179372197309418,0.7410078387458006,0.03309318946344531,0.5095541401273885,0.8429213483146067,0.03138353303388062,0.5179372197309418,both,0.8429213483146067
ALLE,0.8385518102372036,0.026275709105699575,0.5426008968609866,0.7262038073908175,0.07878478728430591,0.5307855626326964,0.8408239700374531,0.012865591039189246,0.5426008968609866,both,0.8408239700374531
ALTR,0.7914606741573034,0.057615803917001766,0.6188340807174888,0.7516461366181411,0.03221025192659401,0.6029723991507431,0.7981772784019976,0.05694009569589519,0.6188340807174888,both,0.7981772784019976
AMAT,0.7870661672908864,0.04454347983510555,0.6121076233183856,0.7474132138857783,0.027349188565931735,0.6050955414012739,0.7870911360799001,0.03892502073818511,0.6121076233183856,both,0.7870911360799001
AMD,0.8161048689138577,0.04651438111238958,0.5515695067264574,0.7366629339305711,0.034353547926613014,0.554140127388535,0.8116104868913858,0.07409296191088083,0.5515695067264574,stock,0.8161048689138577
AME,0.7981023720349563,0.03802463751540443,0.57847533632287,0.7495184770436731,0.016443820588975033,0.5796178343949044,0.782521847690387,0.02301195986515645,0.57847533632287,stock,0.7981023720349563
AMGN,0.818401997503121,0.010690491331781392,0.4977578475336323,0.7475475923852184,0.07000371084204444,0.505307855626327,0.8251186017478153,0.011328898428954175,0.4977578475336323,both,0.8251186017478153
AMP,0.7980774032459426,0.046992932555863676,0.6457399103139013,0.7387905935050393,0.04423462936308215,0.6369426751592356,0.795880149812734,0.04377378377134676,0.6457399103139013,stock,0.7980774032459426
AMT,0.7891885143570536,0.05210105046842685,0.5089686098654709,0.7516013437849944,0.03189641318736781,0.5095541401273885,0.8117103620474408,0.04602814589104553,0.5089686098654709,both,0.8117103620474408
AMZN,0.7623220973782772,0.029700728752770078,0.5426008968609866,0.7516461366181412,0.0335862923596989,0.5520169851380042,0.7712609238451935,0.04317495680532866,0.5426008968609866,both,0.7712609238451935
ANET,0.8024719101123594,0.06758928969746503,0.6076233183856502,0.7793281075027996,0.03726151265464593,0.6093418259023354,0.8137827715355804,0.03424327180119877,0.6076233183856502,both,0.8137827715355804
ANTM,0.8250187265917603,0.031046317163612402,0.5672645739910314,0.6920492721164614,0.04364572610717937,0.5626326963906582,0.8071161048689138,0.022220819436990776,0.5672645739910314,stock,0.8250187265917603
AON,0.8093882646691636,0.02676933669050205,0.5605381165919282,0.7071444568868981,0.055629533967140876,0.5562632696390658,0.8161048689138577,0.017179542983040776,0.5605381165919282,both,0.8161048689138577
AOS,0.7913857677902623,0.0488272314239169,0.57847533632287,0.7347816349384099,0.049106695747167965,0.5732484076433121,0.7846441947565543,0.04386981412538224,0.57847533632287,stock,0.7913857677902623
APA,0.7958302122347067,0.03966750891133161,0.5672645739910314,0.7664501679731243,0.02020879190893279,0.5583864118895966,0.784669163545568,0.026571578328387555,0.5672645739910314,stock,0.7958302122347067
